year,Agricultural nitrous oxide emissions,Nitrous oxide emissions,Nitrous oxide emissions in energy sector,Agricultural methane emissions,Methane emissions in energy sector,HFC gas emissions,Total greenhouse gas emissions,SF6 gas emissions,PFC gas emissions
1990 [YR1990],253600,295770,20170,336950,251660,5970.1,3240290,1708.6,4674.5
2000 [YR2000],304170,375420,27070,372890,296490,38094,4568810.059,10753.6,8034.4
2012 [YR2012],352640,509380,51850,338530,648560,..,11385459.96,..,..
2013 [YR2013],353260,522600,53380,337580,669010,..,11878030.27,..,..
2014 [YR2014],353890,534100,53180,337910,677930,..,11938030.27,..,..
2015 [YR2015],357750,549330,53490,341380,668090,..,11818469.73,..,..
2016 [YR2016],357170,552360,53190,342250,621840,..,11800830.08,..,..
2017 [YR2017],348620,548720,54190,335870,633780,..,12035269.53,..,..
2018 [YR2018],340010,544840,55010,329750,661530,..,12471089.84,..,..
2019 [YR2019],342820,552060,55520,319730,682870,..,12705089.84,..,..
