CO2,CH2,greenhouse gas,Agri CH2,Agri NO2,NO2
19.46926248,606619.9951,6752839.844,199250,172510,257270
18.94591375,607609.9854,6660819.824,199680,175720,262530
19.04291352,612919.9829,6767470.215,200350,178630,269780
18.27849449,621109.9854,6583850.098,201980,175620,254910
16.80869862,610500,6158399.902,199350,172340,247170
17.43173849,627739.9902,6427129.883,199920,173680,254200
16.60421817,632760.0098,6229600.098,196190,178750,263870
15.78978264,643719.9707,6011120.117,194030,177820,256760
16.11118443,646169.9829,6152160.156,190920,180020,259850
15.56003496,670489.9902,6082160.156,191760,178310,259910
15.1498852,652349.9756,5974200.195,198210,183250,266430
14.82326087,668390.0146,5918759.766,198840,182020,265710
15.22254765,709400.0244,6121629.883,202390,181600,267270
14.67341061,744510.0098,6001209.961,202140,179700,264950
