Year,Australia,Belgium,Chile,Canada,France
2005y,67.9415,54.1867,84.0396,154.279,46.4183
2006y,82.3547,94.395,63.2551,170.651,10.0559
2007y,109.955,71.3024,90.2527,213.481,100.656
2008y,89.7054,77.0635,77.1896,103.5,105.931
2009y,98.9572,70.051,78.736,83.2586,85.2653
2010y,96.1411,49.3671,70.8828,116.831,64.4072
2011y,125.276,54.5621,113.095,101.64,73.51
2012y,126.416,74.0077,118.011,114.691,73.5556
2013y,86.654,71.7386,95.6394,114.471,81.8345
2014y,87.8163,70.7009,89.9155,116.042,73.0365
2015y,87.8973,89.6657,78.4968,102.37,85.6152
2016y,105.122,79.4316,85.231,130.467,87.306
2017y,113.685,87.0772,106.626,143.522,105.94
2018y,88.3986,59.0954,84.8806,112.321,84.772
